home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,home_manager,home_captain,away_manager,away_captain,home_goals,away_goals,Attendance,Venue,Officials,Date,Score,Referee,Notes,Round,Host,Year
Qatar,Ecuador,0.0,0.3,,2.0,1.2,,Félix Sánchez,Hassan Al-Haydos,Gustavo Alfaro,Enner Valencia,,Enner Valencia (P) · 16|Enner Valencia · 31,67372,"Al Bayt Stadium, Al Khor",Daniele Orsato (Referee) · Ciro Carbone (AR1) · Alessandro Giallatini (AR2) · István Kovács (4th) · Massimiliano Irrati (VAR),2022-11-20,0–2,Daniele Orsato,,Group stage,Qatar,2022
England,IR Iran,6.0,2.1,,2.0,1.4,,Gareth Southgate,Harry Kane,Carlos Queiroz,Ehsan Hajsafi,Jude Bellingham · 35|Bukayo Saka · 43|Raheem Sterling · 45+1|Bukayo Saka · 62|Marcus Rashford · 71|Jack Grealish · 90,Mehdi Taremi · 65|Mehdi Taremi (P) · 90+13,45334,"Khalifa International Stadium, Doha",Raphael Claus (Referee) · Rodrigo Correa (AR1) · Danilo Manis (AR2) · Kevin Ortega (4th) · Leodán González (VAR),2022-11-21,6–2,Raphael Claus,,Group stage,Qatar,2022
United States,Wales,1.0,0.8,,1.0,1.5,,Gregg Berhalter,Tyler Adams,Rob Page,Gareth Bale,Timothy Weah · 36,Gareth Bale (P) · 82,43418,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Abdulrahman Ibrahim Al Jassim (Referee) · Taleb Salem Al Marri (AR1) · Saoud Ahmed Al Maqaleh (AR2) · Ma Ning (4th) · Abdulla Ali Al Marri (VAR),2022-11-21,1–1,Abdulrahman Ibrahim Al Jassim,,Group stage,Qatar,2022
Senegal,Netherlands,0.0,0.9,,2.0,0.7,,Aliou Cissé,Kalidou Koulibaly,Louis van Gaal,Virgil van Dijk,,Cody Gakpo · 84|Davy Klaassen · 90+9,41721,"Al Thumama Stadium, ath-Thumāma",Wilton Sampaio (Referee) · Bruno Boschilia (AR1) · Bruno Pires (AR2) · Andrés Matonte (4th) · Juan Soto (VAR),2022-11-21,0–2,Wilton Sampaio,,Group stage,Qatar,2022
France,Australia,4.0,4.0,,1.0,0.5,,Didier Deschamps,Hugo Lloris,Graham Arnold,Mathew Ryan,Adrien Rabiot · 27|Olivier Giroud · 32|Kylian Mbappé · 68|Olivier Giroud · 71,Craig Goodwin · 9,40875,"Al Janoub Stadium, Al Wakrah",Victor Gomes (Referee) · Zakhele Siwela (AR1) · Souru Phatsoane (AR2) · Salima Mukansanga (4th) · Drew Fischer (VAR),2022-11-22,4–1,Victor Gomes,,Group stage,Qatar,2022
Mexico,Poland,0.0,0.7,,0.0,0.9,,Tata Martino,Guillermo Ochoa,Czesław Michniewicz,Robert Lewandowski,,,39369,"Stadium 974, Doha",Chris Beath (Referee) · Anton Shchetinin (AR1) · Ashley Beecham (AR2) · Stéphanie Frappart (4th) · Shaun Evans (VAR),2022-11-22,0–0,Chris Beath,,Group stage,Qatar,2022
Denmark,Tunisia,0.0,1.4,,0.0,0.9,,Kasper Hjulmand,Simon Kjær,Jalel Kadri,Youssef Msakni,,,42925,"Education City Stadium, Doha",César Arturo Ramos (Referee) · Alberto Morín (AR1) · Miguel Ángel Hernández (AR2) · Said Martínez (4th) · Fernando Guerrero (VAR),2022-11-22,0–0,César Arturo Ramos,,Group stage,Qatar,2022
Argentina,Saudi Arabia,1.0,2.2,,2.0,0.1,,Lionel Scaloni,Lionel Messi,Hervé Renard,Salman Al-Faraj,Lionel Messi (P) · 10,Saleh Al-Shehri · 48|Salem Al-Dawsari · 53,88012,"Lusail Iconic Stadium, Lusail",Slavko Vinčič (Referee) · Tomaž Klančnik (AR1) · Andraž Kovačič (AR2) · Maguette Ndiaye (4th) · Pol van Boekel (VAR),2022-11-22,1–2,Slavko Vinčič,,Group stage,Qatar,2022
Belgium,Canada,1.0,0.8,,0.0,2.4,,Roberto Martínez,Eden Hazard,John Herdman,Atiba Hutchinson,Michy Batshuayi · 44,,40432,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Janny Sikazwe (Referee) · Jerson dos Santos (AR1) · Arsénio Marengula (AR2) · Yoshimi Yamashita (4th) · Juan Soto (VAR),2022-11-23,1–0,Janny Sikazwe,,Group stage,Qatar,2022
Spain,Costa Rica,7.0,3.5,,0.0,0.0,,Luis Enrique,Sergio Busquets,Luis Fernando Suárez,Keylor Navas,Dani Olmo · 11|Marco Asensio · 21|Ferrán Torres (P) · 31|Ferrán Torres · 54|Gavi · 74|Carlos Soler · 90|Álvaro Morata · 90+2,,40013,"Al Thumama Stadium, ath-Thumāma",Mohammed Abdulla Hassan (Referee) · Mohamed Ahmed Al Hammadi (AR1) · Hasan Mohamed Suqatari (AR2) · Ma Ning (4th) · Abdulla Ali Al Marri (VAR),2022-11-23,7–0,Mohammed Abdulla Hassan,,Group stage,Qatar,2022
Germany,Japan,1.0,3.1,,2.0,1.5,,Hansi Flick,Manuel Neuer,Hajime Moriyasu,Maya Yoshida,İlkay Gündoğan (P) · 33,Ritsu Doan · 75|Takuma Asano · 83,42608,"Khalifa International Stadium, Doha",Iván Barton (Referee) · David Morán (AR1) · Zachari Zeegelaar (AR2) · Said Martínez (4th) · Mauro Vigliano (VAR),2022-11-23,1–2,Iván Barton,,Group stage,Qatar,2022
Morocco,Croatia,0.0,0.4,,0.0,0.5,,Hoalid Regragui,Romain Saïss,Zlatko Dalić,Luka Modrić,,,59407,"Al Bayt Stadium, Al Khor",Fernando Rapallini (Referee) · Juan Pablo Belatti (AR1) · Diego Bonfá (AR2) · Kevin Ortega (4th) · Julio Bascuñán (VAR),2022-11-23,0–0,Fernando Rapallini,,Group stage,Qatar,2022
Switzerland,Cameroon,1.0,1.4,,0.0,0.7,,Murat Yakin,Granit Xhaka,Rigobert Song,Eric Maxim Choupo-Moting,Breel Embolo · 48,,39089,"Al Janoub Stadium, Al Wakrah",Facundo Tello (Referee) · Ezequiel Brailovsky (AR1) · Gabriel Chade (AR2) · Said Martínez (4th) · Mauro Vigliano (VAR),2022-11-24,1–0,Facundo Tello,,Group stage,Qatar,2022
